Date,Open,High,Low,Close,Volume,movingAverage7,movingAverage30,macdLine,macdSignal,rsiValue,bollingerUpper,bollingerLower,dailyRange,dailyReturns,targetPrice
2014-10-16,394.51800537109375,398.8070068359375,373.0700073242188,382.5559997558594,26990000,381.57472011021207,384.11280110677086,-7.086204695526533,-14.590592178675474,48.98869412461025,416.279522390706,319.91468232120803,25.736999511718693,-0.030946924386217045,383.7579956054688
2014-10-17,382.7560119628906,385.4779968261719,375.3890075683594,383.7579956054688,13600700,384.7455749511719,381.66026713053384,-6.039892107573394,-12.880452164455058,49.46348981292605,413.8137513996811,320.80425397141266,10.0889892578125,0.0031420128043384565,391.4419860839844
2014-10-18,383.97601318359375,395.1579895019531,378.9710083007813,391.4419860839844,11416800,388.9088570731027,380.5603332519531,-4.538332952257633,-11.212028322015573,52.50676095478701,415.5893143543495,320.45478964955674,16.186981201171818,0.020023010768524196,389.5459899902344
2014-10-19,391.2539978027344,393.9389953613281,386.4570007324219,389.5459899902344,5914570,390.47985403878346,380.3853332519531,-3.461426374206667,-9.661907932453794,51.67978777543699,417.16587742240614,320.28612453071884,7.48199462890625,-0.004843619645193642,382.8450012207031
2014-10-20,389.2309875488281,390.0840148925781,378.25201416015625,382.8450012207031,16419000,389.3985682896205,379.5167002360026,-3.1128015055059564,-8.352086647064226,48.75698714200411,416.67019065557173,320.37191139520957,11.832000732421875,-0.01720204787552615,386.4750061035156
2014-10-21,382.4209899902344,392.64599609375,380.8340148925781,386.4750061035156,14188900,387.3421412876674,379.10516662597655,-2.5146158028464924,-7.184592478220679,50.39368473158132,417.0184928415074,320.30961079618794,11.811981201171875,0.009481656731152865,383.1579895019531
2014-10-22,386.1180114746094,388.5759887695313,382.2489929199219,383.1579895019531,11641300,385.682852608817,378.47203267415364,-2.281900513390724,-6.204054085254688,48.85802562773556,417.78226463610116,320.3544388551098,6.326995849609432,-0.00858274545359361,358.4169921875
2014-10-23,382.9620056152344,385.0480041503906,356.4469909667969,358.4169921875,26456900,382.2344229561942,375.8928995768229,-4.0472099668116925,-5.77268526156609,39.25038294804775,417.77517573329254,320.25202763584804,28.60101318359375,-0.06457126822962156,358.3450012207031
2014-10-24,358.59100341796875,364.3450012207031,353.30499267578125,358.3450012207031,15585700,378.603995186942,373.73090006510415,-5.389907992150256,-5.696129807682923,39.226211493663314,415.7995023385487,325.1756014212169,11.040008544921875,-0.0002008581299606238,347.27099609375
2014-10-25,358.6109924316406,359.8609924316406,342.87701416015625,347.27099609375,18127500,372.2938537597656,371.58746643066405,-7.263852347005582,-6.009674315547455,35.594941314783526,412.2392968570849,331.41190553549325,16.983978271484375,-0.03090319409850706,354.7040100097656
2014-10-26,347.48699951171875,359.22100830078125,343.9309997558594,354.7040100097656,11272500,367.3164280482701,369.9301005045573,-8.056316445435016,-6.4190027415249675,39.63434296463275,409.41202534013655,336.7016770524416,15.290008544921875,0.02140407347467921,352.989013671875
2014-10-27,354.7770080566406,358.6319885253906,349.8089904785156,352.989013671875,13033000,363.05128696986606,368.3790679931641,-8.722191826481492,-6.879640558516273,39.02615784587375,407.3233399860051,340.47056260188555,8.822998046875,-0.004835006905739236,357.6180114746094
2014-10-28,353.2149963378906,359.9840087890625,352.6789855957031,357.6180114746094,7845880,358.9288591657366,367.7269683837891,-8.775226082906784,-7.258757663394375,41.62969942064246,407.0006184580597,341.26108503315123,7.305023193359375,0.013113716357861849,335.59100341796875
2014-10-29,357.0889892578125,357.8330078125,335.3429870605469,335.59100341796875,18192700,352.1335754394531,366.39776814778645,-10.473914805901813,-7.901789091895862,34.1559216097251,409.62595209652414,335.6922516388274,22.490020751953125,-0.061593676352636795,345.30499267578125
2014-10-30,335.7090148925781,350.9129943847656,335.0719909667969,345.30499267578125,30177900,350.2604326520647,365.0098012288411,-10.910530305563611,-8.503537334629414,39.328953821257976,410.5162186499212,333.17628318113344,15.84100341796875,0.02894591678226255,338.3210144042969
2014-10-31,345.0090026855469,348.0450134277344,337.1419982910156,338.3210144042969,12545400,347.39986310686385,363.5000020345052,-11.68539792033937,-9.139909451771405,37.07375429927973,411.960111694155,329.33459045428253,10.90301513671875,-0.020225535163465924,325.7489929199219
2014-11-01,338.6499938964844,340.52899169921875,321.05499267578125,325.7489929199219,16677200,344.3252912248884,361.85590209960935,-13.16221730479657,-9.944371022376439,33.36482660096782,413.70905837906935,322.30564193831344,19.4739990234375,-0.037160037210550945,325.8919982910156
2014-11-02,326.07501220703125,329.04998779296875,320.6260070800781,325.8919982910156,8603620,340.20928955078125,360.7352355957031,-14.157864914813445,-10.78706980086384,33.446388127903035,412.870114086227,316.692385913773,8.423980712890625,0.00043900479879277476,327.5539855957031
2014-11-03,325.5690002441406,334.00201416015625,325.4809875488281,327.5539855957031,12948500,336.5757141113281,360.6915018717448,-14.644007332375054,-11.558457307166083,34.45056634294748,408.7970014271592,313.4338976206924,8.521026611328125,0.005099810100901436,330.49200439453125
2014-11-04,327.1610107421875,331.7669982910156,325.0769958496094,330.49200439453125,15655500,332.7005702427455,361.02423502604165,-14.623632999419954,-12.171492445616858,36.28085937865686,404.6878816987418,311.1149167631723,6.69000244140625,0.008969571209719529,339.4859924316406
2014-11-05,330.6830139160156,343.3689880371094,330.6830139160156,339.4859924316406,19817200,333.25699724469865,361.3378011067708,-13.723549983467308,-12.481903953186949,41.651926995557105,401.71392196215777,309.78187576733444,12.68597412109375,0.02721393533736638,349.2900085449219
2014-11-06,339.4580078125,352.96600341796875,338.42401123046875,349.2900085449219,18797000,333.8262852260045,361.7745676676432,-12.079876249869756,-12.401498412523512,46.90574071704674,398.11506252747176,309.9339364959658,14.5419921875,0.02887900040604885,342.4150085449219
2014-11-07,349.8179931640625,352.73199462890625,341.7760009765625,342.4150085449219,16834200,334.411141531808,361.4237345377604,-11.202868324687984,-12.161772394956408,43.9192804665849,392.22164138491996,310.9246598846113,10.95599365234375,-0.019682784596788183,345.4880065917969
2014-11-08,342.15399169921875,347.0320129394531,342.15399169921875,345.4880065917969,8535470,337.2310006277902,360.7724680582682,-10.142946392960823,-11.758007194557292,45.586942848384005,385.92291341848386,312.81758951120366,4.878021240234375,0.008974484091493373,363.2640075683594
2014-11-09,345.3760070800781,363.6260070800781,344.2550048828125,363.2640075683594,24205600,342.56985909598217,360.82920125325523,-7.778905526463461,-10.962186860938527,54.09137474496063,382.1075667837072,314.6748367807459,19.371002197265625,0.0514518612438124,366.9240112304688
2014-11-10,362.2650146484375,374.8160095214844,357.5610046386719,366.9240112304688,30450100,348.1941484723772,360.9833679199219,-5.5461221562877085,-9.878973920008363,55.62907881430298,377.409247616218,317.4180564609305,17.2550048828125,0.010075326995947043,367.6950073242188
2014-11-11,365.8569946289063,371.30999755859375,363.7349853515625,367.6950073242188,15838900,353.5088631766183,360.62156778971354,-3.6720828228162645,-8.637595700569944,55.963693274575306,373.37689780695905,319.90410805241606,7.57501220703125,0.0021012418652148757,423.5610046386719
2014-11-12,367.9849853515625,429.7179870605469,367.9849853515625,423.5610046386719,45783200,365.5195792061942,361.7264678955078,2.2945755042510427,-6.451161459605747,72.27758042480961,393.3327273013848,306.46267980310745,61.733001708984375,0.1519356972535464,420.7349853515625
2014-11-13,427.2730102539063,457.0929870605469,401.12298583984375,420.7349853515625,58945000,375.7260044642857,362.3886342366537,6.717721367178228,-3.8173848942489523,70.84774889362464,406.74810000999423,299.28630550758396,55.970001220703125,-0.00667204784236497,397.8179931640625
2014-11-14,418.4169921875,419.25201416015625,384.78900146484375,397.8179931640625,29589200,383.6407165527344,362.49013366699216,8.27845767938976,-1.39821637952121,60.41101571203105,412.77839657768027,298.31070864692924,34.4630126953125,-0.05446894835320326,376.1329956054688
2014-11-15,399.6499938964844,405.5280151367188,371.0079956054688,376.1329956054688,15727500,388.01857212611606,362.2760335286458,7.677058031241586,0.41683850263134925,52.526051530839574,414.5812431162554,298.65076066792443,34.52001953125,-0.054509846038187315,387.8819885253906
2014-11-16,374.7300109863281,390.7990112304688,374.60198974609375,387.8819885253906,11905600,391.5354265485491,362.4134999593099,8.055629730364387,1.944596748177957,55.88566469853427,417.94408977727323,298.77721149225806,16.197021484375057,0.03123627295980569,387.4079895019531
2014-11-17,388.3489990234375,410.1990051269531,377.50201416015625,387.4079895019531,41518800,394.46170915876115,362.27903340657554,8.222617552817553,3.2002009091058765,55.71436264249454,420.8285042601561,298.8717948121096,32.696990966796875,-0.0012220186486088247,375.197998046875
2014-11-18,387.7850036621094,392.4020080566406,371.1170043945313,375.197998046875,32222500,395.53356497628346,361.80076700846354,7.285727012137045,4.017306129712111,51.348106731863524,422.05957664873637,301.6014218864199,21.285003662109318,-0.031517139000605376,380.5549926757813
2014-11-19,373.89599609375,386.4809875488281,373.89599609375,380.5549926757813,18931800,389.3898489815848,361.72443339029945,6.896006336563573,4.5930461710824035,53.085274388222814,423.84896124498823,303.33703729016815,12.584991455078125,0.014277780416720232,357.8399963378906
2014-11-20,380.3070068359375,382.0249938964844,356.781005859375,357.8399963378906,25233200,380.4048505510603,360.7699330647786,4.700060158244753,4.614448968514874,45.64319689008666,423.72366757209807,305.4142291564176,25.243988037109375,-0.059689129758029535,350.8479919433594
2014-11-21,357.8789978027344,357.8789978027344,344.11199951171875,350.8479919433594,29850100,373.6948503766741,359.69293314615885,2.3682608342631397,4.165211341664527,43.61625097880086,422.52507539122365,309.12272123963584,13.766998291015625,-0.019539471456759827,352.9200134277344
2014-11-22,351.60400390625,364.8410034179688,350.87799072265625,352.9200134277344,15273000,370.3787100655692,359.50970052083335,0.6796532676834204,3.468099726868306,44.40417712507765,421.0890498111343,313.261548333397,13.963012695312557,0.005905752724699953,367.572998046875
2014-11-23,353.17498779296875,370.8450012207031,353.17498779296875,367.572998046875,15151600,367.4774257114955,359.8173004150391,0.5178238530275507,2.878044552100155,49.751887057040534,419.7664985554789,318.5860008341696,17.670013427734375,0.04151927933138033,376.9010009765625
2014-11-24,366.947998046875,387.2090148925781,366.66900634765625,376.9010009765625,30930100,365.97642735072543,360.8049672444661,1.1292474928816318,2.5282851402564503,52.8604413386896,418.76421207623537,324.2291869716163,20.540008544921875,0.02537728010287066,375.3479919433594
